case_name,office,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office6_960_246_bout,office6,960.0,246.0,b,1622.3460000000002
office6_960_82_aout,office6,960.0,82.0,a,1272.9413333333334
office6_960_82_bout,office6,960.0,82.0,b,1110.7706666666666
office7_0_0,office7,0.0,0.0,off,3006.2933333333335
office7_0_164_aout,office7,0.0,164.0,a,2665.3520000000003
office7_0_164_bout,office7,0.0,164.0,b,2969.908666666667
office7_0_246_aout,office7,0.0,246.0,a,2138.763
office7_0_246_bout,office7,0.0,246.0,b,3335.4416666666666
office7_0_82_aout,office7,0.0,82.0,a,3034.383666666667
office7_0_82_bout,office7,0.0,82.0,b,2756.257333333333
office7_360_0,office7,360.0,0.0,off,1751.8210000000001
office7_360_164_aout,office7,360.0,164.0,a,1384.0696666666668
office7_360_164_bout,office7,360.0,164.0,b,1674.9886666666666
office7_360_246_aout,office7,360.0,246.0,a,1653.1446666666666
office7_360_246_bout,office7,360.0,246.0,b,1782.97
office7_360_82_aout,office7,360.0,82.0,a,1995.391
office7_360_82_bout,office7,360.0,82.0,b,1633.948
office7_660_0,office7,660.0,0.0,off,1662.049
office7_660_164_aout,office7,660.0,164.0,a,1719.817
office7_660_164_bout,office7,660.0,164.0,b,1904.0536666666667
office7_660_246_aout,office7,660.0,246.0,a,1631.2396666666666
office7_660_246_bout,office7,660.0,246.0,b,2189.7546666666667
office7_660_82_aout,office7,660.0,82.0,a,1623.7726666666665
office7_660_82_bout,office7,660.0,82.0,b,1738.8560000000002
office7_960_0,office7,960.0,0.0,off,1645.6106666666667
office7_960_164_aout,office7,960.0,164.0,a,1351.4566666666667
office7_960_164_bout,office7,960.0,164.0,b,1444.1093333333336
office7_960_246_aout,office7,960.0,246.0,a,1272.75
office7_960_246_bout,office7,960.0,246.0,b,1634.42
office7_960_82_aout,office7,960.0,82.0,a,1513.9836666666667
office7_960_82_bout,office7,960.0,82.0,b,1645.2423333333331
office8_0_0,office8,0.0,0.0,off,2034.7710000000002
office8_0_164_aout,office8,0.0,164.0,a,1923.77
office8_0_164_bout,office8,0.0,164.0,b,1965.685
office8_0_246_aout,office8,0.0,246.0,a,1759.2369999999999
office8_0_246_bout,office8,0.0,246.0,b,1863.8516666666667
office8_0_82_aout,office8,0.0,82.0,a,1968.8439999999998
office8_0_82_bout,office8,0.0,82.0,b,1982.181333333333
office8_360_0,office8,360.0,0.0,off,1787.6503333333333
