case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand
office22_960_82_bout,office22,960.0,82.0,b,5734.6,103.79366515837106,164.1953410981697,985.5740432612313
office6_0_0,office6,0.0,0.0,off,5367.4,162.64848484848486,204.98036605657236,1590.758735440932
office6_0_164_aout,office6,0.0,164.0,a,6110.4,185.1636363636364,169.06788685524126,1621.6525790349417
office6_0_164_bout,office6,0.0,164.0,b,4913.0,148.87878787878788,130.72212978369384,1278.9520798668884
office6_0_246_aout,office6,0.0,246.0,a,5342.8,161.9030303030303,222.5008319467554,1452.6432612312813
office6_0_246_bout,office6,0.0,246.0,b,4315.0,130.75757575757575,265.5793677204659,1508.367387687188
office6_0_82_aout,office6,0.0,82.0,a,4750.8,143.96363636363637,224.61198003327786,1195.1051580698836
office6_0_82_bout,office6,0.0,82.0,b,5258.2,159.33939393939394,184.78602329450914,1496.7331114808653
office6_360_0,office6,360.0,0.0,off,5277.6,159.92727272727274,197.9910149750416,1444.324126455907
office6_360_164_aout,office6,360.0,164.0,a,6477.8,196.2969696969697,225.9344425956739,1601.128452579035
office6_360_164_bout,office6,360.0,164.0,b,5706.4,172.92121212121214,197.6259567387687,1328.1138103161395
office6_360_246_aout,office6,360.0,246.0,a,6435.6,195.01818181818183,193.8415973377704,1495.7254575707154
office6_360_246_bout,office6,360.0,246.0,b,6584.2,199.52121212121213,273.7254575707155,1841.2023294509154
office6_360_82_aout,office6,360.0,82.0,a,5627.2,170.5212121212121,230.42961730449252,1373.2838602329452
office6_360_82_bout,office6,360.0,82.0,b,6183.2,187.3696969696969,218.60366056572377,1766.912479201331
office6_660_0,office6,660.0,0.0,off,7121.0,215.78787878787875,266.31946755407654,1687.57537437604
office6_660_164_aout,office6,660.0,164.0,a,6296.4,190.8,350.91880199667224,1936.8881863560732
office6_660_164_bout,office6,660.0,164.0,b,6767.4,205.0727272727273,252.04392678868552,1467.2642262895176
office6_660_246_aout,office6,660.0,246.0,a,6838.8,207.2363636363636,435.8785357737105,2022.5194675540765
