case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand,countTimeMean_exceptDesk,countTimeMean_onlyFloating
office1_660_246_bout,office1,660.0,246.0,b,5715.6,173.2,143.55440931780365,1051.6189683860232,717.4266666666666,1018.159
office1_660_41_aout,office1,660.0,41.0,a,6365.2,192.88484848484848,412.4036605657238,1858.6615640599,1096.746,1829.266
office1_660_41_bout,office1,660.0,41.0,b,5928.6,179.65454545454546,124.6026622296173,1041.1770382695506,827.2139999999999,1016.0403333333335
office1_660_82_aout,office1,660.0,82.0,a,4905.4,148.64848484848486,86.65823627287854,963.6146422628952,693.2003333333332,910.3236666666668
office1_660_82_bout,office1,660.0,82.0,b,7294.0,221.030303030303,399.3524126455907,1766.4103161397672,1313.898,1738.5343333333333
office1_960_0,office1,960.0,0.0,off,6207.8,188.1151515151515,270.13078202995007,1632.345424292845,1213.5036666666665,1594.1943333333336
office1_960_123_aout,office1,960.0,123.0,a,7184.6,217.7151515151515,303.6495840266223,1618.426622296173,1274.121,1574.6506666666667
office1_960_123_bout,office1,960.0,123.0,b,6445.6,195.3212121212121,193.55707154742092,1594.0752079866888,1148.2786666666668,1546.8986666666665
office1_960_164_aout,office1,960.0,164.0,a,5203.0,157.66666666666669,147.2389351081531,1028.0,751.1266666666667,999.284
office1_960_164_bout,office1,960.0,164.0,b,5640.6,170.92727272727274,192.4545757071548,1186.06921797005,912.9763333333334,1139.5553333333335
office1_960_205_aout,office1,960.0,205.0,a,5837.2,176.8848484848485,229.9966722129784,1454.5527454242929,1071.6246666666668,1416.1323333333335
office1_960_205_bout,office1,960.0,205.0,b,5522.4,167.34545454545454,196.20499168053243,1227.1580698835276,921.281,1175.4756666666667
office1_960_246_aout,office1,960.0,246.0,a,6469.8,196.05454545454543,248.8742096505824,1405.4928452579034,1166.0816666666667,1351.4506666666666
office1_960_246_bout,office1,960.0,246.0,b,7235.0,219.24242424242425,365.54409317803663,1806.5866888519136,1345.8163333333334,1748.890666666667
office1_960_41_aout,office1,960.0,41.0,a,5395.4,163.49696969696967,141.9720465890183,1062.1504159733777,801.5319999999999,1033.294
office1_960_41_bout,office1,960.0,41.0,b,7935.4,240.46666666666664,242.65291181364395,1837.1793677204653,1406.9623333333336,1788.2726666666667
office1_960_82_aout,office1,960.0,82.0,a,6631.0,200.939393939394,194.2688851913477,1302.779367720466,940.1303333333332,1263.9489999999998
office1_960_82_bout,office1,960.0,82.0,b,6454.6,195.5939393939394,627.4183028286191,2495.3188019966724,1182.9396666666669,2439.936333333333
office2_0_0,office2,0.0,0.0,off,6739.4,204.2242424242424,902.2129783693844,3665.252246256239,2819.0026666666668,3629.143666666667
