case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,count_sum,count_timeMean
office1_960_123_aout,office1,960.0,123.0,a,7184.6,217.7151515151515,182493.4,303.6495840266223
office1_960_123_bout,office1,960.0,123.0,b,6445.6,195.3212121212121,116327.8,193.55707154742097
office1_960_164_aout,office1,960.0,164.0,a,5203.0,157.66666666666669,88490.6,147.2389351081531
office1_960_164_bout,office1,960.0,164.0,b,5640.6,170.92727272727274,115665.2,192.45457570715473
office1_960_205_aout,office1,960.0,205.0,a,5837.2,176.8848484848485,138228.0,229.99667221297838
office1_960_205_bout,office1,960.0,205.0,b,5522.4,167.34545454545454,117919.2,196.20499168053243
office1_960_246_aout,office1,960.0,246.0,a,6469.8,196.05454545454543,149573.4,248.87420965058234
office1_960_246_bout,office1,960.0,246.0,b,7235.0,219.24242424242425,219692.0,365.54409317803663
office1_960_41_aout,office1,960.0,41.0,a,5395.4,163.49696969696967,85325.2,141.9720465890183
office1_960_41_bout,office1,960.0,41.0,b,7935.4,240.46666666666664,145834.4,242.65291181364393
office1_960_82_aout,office1,960.0,82.0,a,6631.0,200.939393939394,116755.6,194.26888519134775
office1_960_82_bout,office1,960.0,82.0,b,6454.6,195.5939393939394,377078.4,627.4183028286191
office22_0_0,office22,0.0,0.0,off,5649.6,102.25520361990952,261151.4,434.5281198003328
office22_0_164_aout,office22,0.0,164.0,a,5749.0,104.05429864253392,227479.2,378.5011647254576
office22_0_164_bout,office22,0.0,164.0,b,7098.2,128.47420814479636,134243.4,223.36672212978368
office22_0_246_aout,office22,0.0,246.0,a,6008.4,108.74932126696834,189228.6,314.85623960066556
office22_0_246_bout,office22,0.0,246.0,b,7049.4,127.59095022624432,350802.4,583.697836938436
office22_0_82_aout,office22,0.0,82.0,a,6758.8,122.33122171945702,278378.4,463.1920133111481
office22_0_82_bout,office22,0.0,82.0,b,5580.0,100.99547511312215,436132.6,725.6782029950083
office22_360_0,office22,360.0,0.0,off,3773.6,68.30045248868778,46580.0,77.50415973377704
office22_360_164_aout,office22,360.0,164.0,a,4423.0,80.05429864253394,87390.4,145.40831946755407
office22_360_164_bout,office22,360.0,164.0,b,5629.6,101.89321266968324,96353.8,160.322462562396
office22_360_246_aout,office22,360.0,246.0,a,4535.2,82.08506787330317,125215.0,208.34442595673877
office22_360_246_bout,office22,360.0,246.0,b,4805.8,86.98280542986427,93384.6,155.3820299500832
office22_360_82_aout,office22,360.0,82.0,a,5305.8,96.03257918552036,92742.4,154.3134775374376
office22_360_82_bout,office22,360.0,82.0,b,3637.4,65.83529411764707,55128.6,91.72811980033278
office22_660_0,office22,660.0,0.0,off,4423.6,80.06515837104072,51584.0,85.83028286189683
office22_660_164_aout,office22,660.0,164.0,a,4410.8,79.83348416289593,111972.2,186.30981697171381
office22_660_164_bout,office22,660.0,164.0,b,5014.6,90.76199095022623,103389.4,172.02895174708817
office22_660_246_aout,office22,660.0,246.0,a,5321.0,96.3076923076923,89390.8,148.736772046589
office22_660_246_bout,office22,660.0,246.0,b,5211.4,94.3239819004525,105804.2,176.04692179700498
office22_660_82_aout,office22,660.0,82.0,a,3848.2,69.65067873303167,68731.6,114.36206322795343
office22_660_82_bout,office22,660.0,82.0,b,4394.8,79.54389140271493,99860.2,166.1567387687188
office22_960_0,office22,960.0,0.0,off,5356.8,96.9556561085973,77615.6,129.14409317803663
office22_960_164_aout,office22,960.0,164.0,a,5586.8,101.11855203619908,89042.8,148.1577371048253
office22_960_164_bout,office22,960.0,164.0,b,5526.0,100.01809954751133,99943.8,166.29584026622297
office22_960_246_aout,office22,960.0,246.0,a,5320.0,96.289592760181,94001.2,156.4079866888519
office22_960_246_bout,office22,960.0,246.0,b,6165.8,111.59819004524886,143270.2,238.38635607321135
office22_960_82_aout,office22,960.0,82.0,a,4618.0,83.58371040723983,75634.4,125.84758735440931
office22_960_82_bout,office22,960.0,82.0,b,5734.6,103.79366515837106,98681.4,164.1953410981697
office6_0_0,office6,0.0,0.0,off,5367.4,162.64848484848486,123193.2,204.98036605657236
office6_0_164_aout,office6,0.0,164.0,a,6110.4,185.1636363636364,101609.8,169.06788685524126
office6_0_164_bout,office6,0.0,164.0,b,4913.0,148.87878787878788,78564.0,130.72212978369384
office6_0_246_aout,office6,0.0,246.0,a,5342.8,161.9030303030303,133723.0,222.5008319467554
office6_0_246_bout,office6,0.0,246.0,b,4315.0,130.75757575757575,159613.2,265.5793677204659
office6_0_82_aout,office6,0.0,82.0,a,4750.8,143.96363636363637,134991.8,224.61198003327786
office6_0_82_bout,office6,0.0,82.0,b,5258.2,159.33939393939394,111056.4,184.78602329450914
office6_360_0,office6,360.0,0.0,off,5277.6,159.92727272727274,118992.6,197.9910149750416
office6_360_164_aout,office6,360.0,164.0,a,6477.8,196.2969696969697,135786.6,225.9344425956739
office6_360_164_bout,office6,360.0,164.0,b,5706.4,172.92121212121214,118773.2,197.6259567387687
office6_360_246_aout,office6,360.0,246.0,a,6435.6,195.01818181818183,116498.8,193.8415973377704
office6_360_246_bout,office6,360.0,246.0,b,6584.2,199.52121212121213,164509.0,273.7254575707155
office6_360_82_aout,office6,360.0,82.0,a,5627.2,170.5212121212121,138488.2,230.42961730449252
office6_360_82_bout,office6,360.0,82.0,b,6183.2,187.3696969696969,131380.8,218.60366056572377
office6_660_0,office6,660.0,0.0,off,7121.0,215.78787878787875,160058.0,266.31946755407654
office6_660_164_aout,office6,660.0,164.0,a,6296.4,190.8,210902.2,350.91880199667224
office6_660_164_bout,office6,660.0,164.0,b,6767.4,205.0727272727273,151478.4,252.04392678868552
office6_660_246_aout,office6,660.0,246.0,a,6838.8,207.2363636363636,261963.0,435.8785357737105
office6_660_246_bout,office6,660.0,246.0,b,6825.0,206.8181818181818,208883.2,347.5594009983361
office6_660_82_aout,office6,660.0,82.0,a,6883.0,208.5757575757576,111536.6,185.58502495840267
office6_660_82_bout,office6,660.0,82.0,b,6974.4,211.3454545454545,113698.6,189.18236272878536
office6_960_0,office6,960.0,0.0,off,7945.2,240.76363636363635,121995.0,202.98668885191347
office6_960_164_aout,office6,960.0,164.0,a,7520.2,227.88484848484845,156558.4,260.4965058236273
office6_960_164_bout,office6,960.0,164.0,b,7071.4,214.2848484848485,100277.0,166.8502495840266
office6_960_246_aout,office6,960.0,246.0,a,7437.6,225.3818181818182,161772.2,269.17171381031613
office6_960_246_bout,office6,960.0,246.0,b,7195.8,218.05454545454543,154903.4,257.74276206322793
office6_960_82_aout,office6,960.0,82.0,a,6592.2,199.7636363636364,139334.0,231.8369384359401
office6_960_82_bout,office6,960.0,82.0,b,6504.6,197.1090909090909,119579.8,198.96805324459234
office4_0_0,office4,0.0,0.0,off,5042.4,152.8,285153.0,474.46422628951746
office4_0_164_aout,office4,0.0,164.0,a,4274.0,129.5151515151515,370348.2,616.2199667221298
office4_0_164_bout,office4,0.0,164.0,b,5822.6,176.44242424242424,328204.4,546.0971713810317
office4_0_246_aout,office4,0.0,246.0,a,5959.2,180.5818181818182,331915.6,552.2722129783693
office4_0_246_bout,office4,0.0,246.0,b,4995.4,151.37575757575758,301994.6,502.4868552412645
office4_0_82_aout,office4,0.0,82.0,a,4894.6,148.3212121212121,338133.6,562.6183028286189
office4_0_82_bout,office4,0.0,82.0,b,4985.8,151.08484848484846,335205.2,557.7457570715475
office4_360_0,office4,360.0,0.0,off,5161.0,156.39393939393938,316147.2,526.0352745424293
office4_360_164_aout,office4,360.0,164.0,a,4637.2,140.52121212121213,380642.6,633.3487520798668
office4_360_164_bout,office4,360.0,164.0,b,4928.6,149.35151515151514,270027.6,449.2971713810316
office4_360_246_aout,office4,360.0,246.0,a,4746.6,143.8363636363636,301204.0,501.171381031614
office4_360_246_bout,office4,360.0,246.0,b,5173.4,156.769696969697,267889.0,445.738768718802
office4_360_82_aout,office4,360.0,82.0,a,5088.6,154.2,287113.2,477.72579034941765
office4_360_82_bout,office4,360.0,82.0,b,4641.4,140.64848484848486,239065.2,397.77903494176377
office4_660_0,office4,660.0,0.0,off,5295.8,160.47878787878787,304085.0,505.96505823627285
office4_660_164_aout,office4,660.0,164.0,a,5176.0,156.84848484848482,285262.0,474.6455906821963
office4_660_164_bout,office4,660.0,164.0,b,5878.0,178.1212121212121,228486.8,380.17770382695505
office4_660_246_aout,office4,660.0,246.0,a,5025.6,152.29090909090908,222416.8,370.0778702163061
office4_660_246_bout,office4,660.0,246.0,b,5603.2,169.7939393939394,248481.0,413.4459234608985
office4_660_82_aout,office4,660.0,82.0,a,5372.0,162.78787878787878,247279.0,411.4459234608985
office4_660_82_bout,office4,660.0,82.0,b,4274.4,129.52727272727273,256660.4,427.05557404326123
office4_960_0,office4,960.0,0.0,off,4850.4,146.9818181818182,228961.4,380.967387687188
office4_960_164_aout,office4,960.0,164.0,a,5929.8,179.6909090909091,234996.0,391.0083194675541
office4_960_164_bout,office4,960.0,164.0,b,5441.4,164.8909090909091,199380.8,331.7484193011647
office4_960_246_aout,office4,960.0,246.0,a,5412.6,164.01818181818183,139140.0,231.51414309484193
office4_960_246_bout,office4,960.0,246.0,b,6152.6,186.44242424242424,160196.6,266.55008319467555
office4_960_82_aout,office4,960.0,82.0,a,5545.8,168.05454545454546,160709.8,267.40399334442594
office4_960_82_bout,office4,960.0,82.0,b,5793.2,175.55151515151516,201619.0,335.47254575707154
office16_0_0,office16,0.0,0.0,off,6618.6,147.07999999999998,232578.8,386.9863560732113
office16_0_164_aout,office16,0.0,164.0,a,6215.8,138.1288888888889,363820.2,605.3580698835275
office16_0_164_bout,office16,0.0,164.0,b,6829.4,151.76444444444445,311166.0,517.7470881863561
office16_0_246_aout,office16,0.0,246.0,a,7159.4,159.0977777777778,278990.0,464.2096505823627
office16_0_246_bout,office16,0.0,246.0,b,7044.4,156.54222222222222,387551.4,644.8442595673878
office16_0_82_aout,office16,0.0,82.0,a,6623.2,147.1822222222222,282070.2,469.3347753743761
office16_0_82_bout,office16,0.0,82.0,b,7687.6,170.83555555555557,233472.2,388.4728785357737
office16_360_0,office16,360.0,0.0,off,5478.8,121.75111111111111,48236.6,80.26056572379368
office16_360_164_aout,office16,360.0,164.0,a,6297.8,139.95111111111112,169985.4,282.83760399334443
office16_360_164_bout,office16,360.0,164.0,b,5883.0,130.73333333333332,134687.8,224.10615640599
office16_360_246_aout,office16,360.0,246.0,a,6318.4,140.4088888888889,194261.6,323.230615640599
office16_360_246_bout,office16,360.0,246.0,b,5766.8,128.1511111111111,111192.0,185.0116472545757
office16_360_82_aout,office16,360.0,82.0,a,6072.0,134.93333333333334,160229.2,266.60432612312815
office16_360_82_bout,office16,360.0,82.0,b,5949.4,132.2088888888889,178650.8,297.2559068219634
office16_660_0,office16,660.0,0.0,off,6726.2,149.47111111111113,119046.2,198.08019966722128
office16_660_164_aout,office16,660.0,164.0,a,6155.6,136.7911111111111,153404.2,255.24825291181367
office16_660_164_bout,office16,660.0,164.0,b,5921.6,131.5911111111111,116541.6,193.9128119800333
office16_660_246_aout,office16,660.0,246.0,a,6435.4,143.0088888888889,228674.8,380.49051580698836
office16_660_246_bout,office16,660.0,246.0,b,6581.6,146.2577777777778,116273.8,193.46722129783694
office16_660_82_aout,office16,660.0,82.0,a,5952.6,132.28,98151.0,163.31281198003327
office16_660_82_bout,office16,660.0,82.0,b,5965.6,132.5688888888889,196943.2,327.69251247920135
office16_960_0,office16,960.0,0.0,off,6834.8,151.88444444444443,186151.0,309.7354409317804
office16_960_164_aout,office16,960.0,164.0,a,6338.2,140.8488888888889,166703.2,277.37637271214646
office16_960_164_bout,office16,960.0,164.0,b,6748.4,149.96444444444444,242638.2,403.72412645590686
office16_960_246_aout,office16,960.0,246.0,a,7471.8,166.04,206710.4,343.9440931780366
office16_960_246_bout,office16,960.0,246.0,b,6989.8,155.32888888888888,209576.6,348.71314475873544
office16_960_82_aout,office16,960.0,82.0,a,7347.4,163.27555555555557,151960.8,252.8465890183028
office16_960_82_bout,office16,960.0,82.0,b,6878.0,152.84444444444443,173265.4,288.29517470881865
office8_0_0,office8,0.0,0.0,off,5535.2,153.75555555555553,316051.2,525.8755407653911
office8_0_164_aout,office8,0.0,164.0,a,5992.6,166.4611111111111,280965.8,467.4971713810316
office8_0_164_bout,office8,0.0,164.0,b,5383.0,149.52777777777777,279795.8,465.5504159733777
office8_0_246_aout,office8,0.0,246.0,a,5892.0,163.66666666666669,241616.2,402.02362728785357
office8_0_246_bout,office8,0.0,246.0,b,5576.2,154.89444444444445,319283.2,531.2532445923462
office8_0_82_aout,office8,0.0,82.0,a,5439.2,151.0888888888889,322214.2,536.1301164725458
office8_0_82_bout,office8,0.0,82.0,b,5716.6,158.79444444444442,387525.6,644.8013311148086
office8_360_0,office8,360.0,0.0,off,5664.2,157.33888888888887,339952.8,565.6452579034942
office8_360_164_aout,office8,360.0,164.0,a,5293.2,147.03333333333336,271198.4,451.24525790349423
office8_360_164_bout,office8,360.0,164.0,b,5009.6,139.15555555555557,316951.6,527.3737104825291
office8_360_246_aout,office8,360.0,246.0,a,6077.6,168.82222222222222,278826.2,463.9371048252912
office8_360_246_bout,office8,360.0,246.0,b,5519.6,153.32222222222222,406312.0,676.0599001663893
office8_360_82_aout,office8,360.0,82.0,a,5372.6,149.2388888888889,286127.4,476.08552412645594
office8_360_82_bout,office8,360.0,82.0,b,5659.8,157.21666666666667,306351.2,509.73577371048253
office8_660_0,office8,660.0,0.0,off,5944.4,165.1222222222222,303668.2,505.2715474209651
office8_660_164_aout,office8,660.0,164.0,a,6025.2,167.36666666666665,281397.2,468.21497504159737
office8_660_164_bout,office8,660.0,164.0,b,6069.2,168.5888888888889,243600.4,405.3251247920133
office8_660_246_aout,office8,660.0,246.0,a,6286.6,174.6277777777778,302961.6,504.0958402662229
office8_660_246_bout,office8,660.0,246.0,b,6405.8,177.9388888888889,244378.8,406.62029950083195
office8_660_82_aout,office8,660.0,82.0,a,6112.4,169.78888888888886,260904.0,434.11647254575706
office8_660_82_bout,office8,660.0,82.0,b,6090.6,169.18333333333334,261905.6,435.7830282861897
office8_960_0,office8,960.0,0.0,off,6315.2,175.42222222222222,287086.4,477.68119800332784
office8_960_164_aout,office8,960.0,164.0,a,5881.4,163.37222222222223,274028.6,455.9544093178036
office8_960_164_bout,office8,960.0,164.0,b,6174.0,171.5,270790.8,450.56705490848583
office8_960_246_aout,office8,960.0,246.0,a,6932.2,192.5611111111111,256055.4,426.04891846921794
office8_960_246_bout,office8,960.0,246.0,b,6616.4,183.7888888888889,286516.0,476.7321131447587
office8_960_82_aout,office8,960.0,82.0,a,6397.0,177.69444444444443,286257.0,476.30116472545757
