x,y,z,num_droplets,volume,RoI
1.7,0.3,1.25,4.6,1.8597893e-07,0.116607785
1.8,0.3,1.25,8.0,2.6310053e-07,0.16087896
1.9,0.3,1.25,5.2,3.3261287e-08,0.021930158
2.0,0.3,1.25,2.4,7.92974e-08,0.051491857
2.1,0.3,1.25,2.4,2.729195e-08,0.018030107
2.2,0.3,1.25,5.2,8.199983e-08,0.053199172
2.3,0.3,1.25,0.0,0.0,0.0
2.4,0.3,1.25,1.2,3.1678912e-08,0.020897806
2.5,0.3,1.25,5.6,5.8716335e-08,0.038388014
2.6,0.3,1.25,4.2,3.033589e-08,0.020020783
2.7,0.3,1.25,1.6,4.0861656e-10,0.00027239323
2.8,0.3,1.25,0.2,5.612324e-10,0.00037407875
2.9,0.3,1.25,0.2,2.827434e-12,1.9073486e-06
3.0,0.3,1.25,4.4,8.8395896e-10,0.0005891323
3.1,0.3,1.25,8.2,1.9553184e-09,0.0013027191
3.2,0.3,1.25,8.8,3.9664116e-09,0.0026407838
3.3,0.3,1.25,2.0,3.126932e-10,0.00020843744
3.4,0.3,1.25,0.2,1.3089969e-11,8.702278e-06
3.5,0.3,1.25,0.6,2.2901037e-09,0.0015255809
3.6,0.3,1.25,0.4,7.015689e-08,0.04569435
3.7,0.3,1.25,0.4,7.015689e-08,0.04569435
3.8,0.3,1.25,0.4,1.526814e-10,0.00010180473
3.9,0.3,1.25,0.8,1.5558518e-10,0.00010371208
4.0,0.3,1.25,0.4,1.526814e-10,0.00010180473
4.1,0.3,1.25,0.8,2.42112e-10,0.00016140938
4.2,0.3,1.25,3.4,8.071144e-10,0.0005379319
4.3,0.3,1.25,3.0,2.715514e-09,0.001808703
4.4,0.3,1.25,0.0,0.0,0.0
4.5,0.3,1.25,0.0,0.0,0.0
4.6,0.3,1.25,0.0,0.0,0.0
4.7,0.3,1.25,0.0,0.0,0.0
4.8,0.3,1.25,0.4,1.1225958e-10,7.4863434e-05
4.9,0.3,1.25,8.4,2.7476556e-08,0.018150926
5.0,0.3,1.25,4.8,5.188602e-08,0.033999264
5.1,0.3,1.25,0.6,4.432028e-09,0.0029503107
5.2,0.3,1.25,1.0,3.536438e-09,0.0023548603
5.3,0.3,1.25,0.4,1.2059134e-09,0.0008035898
5.4,0.3,1.25,1.6,4.3353987e-10,0.00028896332
5.5,0.3,1.25,1.8,4.895365e-10,0.00032627583
5.6,0.3,1.25,1.0,2.2459541e-10,0.00014972687
5.7,0.3,1.25,29.4,1.2101092e-08,0.0080349445
5.8,0.3,1.25,34.2,2.2238693e-08,0.014716446
5.9,0.3,1.25,4.6,2.905589e-09,0.001935184
0.0,0.4,1.25,1.2,2.7352795e-10,0.00018233061
0.1,0.4,1.25,15.4,7.779901e-08,0.050543904
0.2,0.4,1.25,0.2,7.63407e-11,5.0902367e-05
0.3,0.4,1.25,0.4,2.254184e-09,0.0015016794
0.4,0.4,1.25,9.4,3.370801e-08,0.022221386
0.5,0.4,1.25,1.4,3.4886576e-09,0.002323091
0.6,0.4,1.25,0.0,0.0,0.0
0.7,0.4,1.25,0.0,0.0,0.0
0.8,0.4,1.25,0.2,2.827434e-12,1.9073486e-06
0.9,0.4,1.25,3.0,1.769653e-07,0.11128336
1.0,0.4,1.25,5.4,9.0443685e-08,0.058514
1.1,0.4,1.25,14.6,1.1250771e-07,0.072261274
1.2,0.4,1.25,1.8,3.6546801e-09,0.0024334788
1.3,0.4,1.25,0.0,0.0,0.0
1.4,0.4,1.25,0.0,0.0,0.0
1.5,0.4,1.25,0.4,2.2541848e-09,0.0015016794
1.6,0.4,1.25,0.2,2.1778441e-09,0.0014508367
1.7,0.4,1.25,0.4,2.7744184e-08,0.018326104
1.8,0.4,1.25,7.2,2.9056667e-07,0.17610413
1.9,0.4,1.25,5.0,8.367979e-08,0.054259002
2.0,0.4,1.25,4.0,3.0741877e-08,0.020286024
2.1,0.4,1.25,4.8,1.07695556e-07,0.06928021
2.2,0.4,1.25,6.4,2.121208e-07,0.13187003
2.3,0.4,1.25,1.6,2.7974366e-08,0.018476725
2.4,0.4,1.25,0.8,1.5558518e-10,0.00010371208
2.5,0.4,1.25,0.4,2.5566418e-08,0.016899824
2.6,0.4,1.25,0.2,3.591888e-11,2.3961067e-05
