casename,num_drop,volume[ml],RoI
office28_0_82_bout_A,2220,4.71564381e-05,38.94736842105263
office28_360_0_A,2591,8.39643762e-05,45.45614035087719
office28_360_164_aout_A,2877,4.70656378e-05,50.473684210526315
office28_360_164_bout_A,4845,6.43277817e-05,85.0
office28_360_246_aout_A,3178,6.71019225e-05,55.75438596491228
office28_360_246_bout_A,3198,3.03005927e-05,56.10526315789474
office28_360_82_aout_A,4075,0.000116652547,71.49122807017544
office28_360_82_bout_A,3852,7.17870498e-05,67.57894736842105
office28_660_0_A,4143,6.28407506e-05,72.6842105263158
office28_660_164_aout_A,4000,8.13800652e-05,70.17543859649123
office28_660_164_bout_A,6427,5.55502302e-05,112.75438596491227
office28_660_246_aout_A,3329,6.4201231e-05,58.40350877192982
office28_660_246_bout_A,6470,6.52972885e-05,113.50877192982456
office28_660_82_aout_A,5260,0.00011638907,92.28070175438596
office28_660_82_bout_A,4973,0.000104630875,87.24561403508773
office28_960_0_A,3260,8.51904188e-05,57.19298245614035
office28_960_164_aout_A,3463,8.31827419e-05,60.75438596491228
office28_960_164_bout_A,3501,1.92400203e-05,61.421052631578945
office28_960_246_aout_A,4512,9.22848558e-05,79.15789473684211
office28_960_246_bout_A,5013,5.65282753e-05,87.94736842105263
office28_960_82_aout_A,2971,9.39133315e-05,52.12280701754386
office28_960_82_bout_A,4216,0.000103087281,73.96491228070175
office28_0_0_B,5535,4.45454607e-05,97.10526315789474
office28_0_164_aout_B,5176,3.53080504e-05,90.80701754385964
office28_0_164_bout_B,3598,3.11820513e-05,63.12280701754386
office28_0_246_aout_B,6185,4.95208915e-05,108.50877192982456
office28_0_246_bout_B,5339,4.48010214e-05,93.66666666666667
office28_0_82_aout_B,5332,4.54772307e-05,93.54385964912281
office28_0_82_bout_B,5662,6.08504524e-05,99.33333333333333
office28_360_0_B,3910,2.09586797e-05,68.59649122807018
office28_360_164_aout_B,2636,1.38200612e-05,46.24561403508772
office28_360_164_bout_B,5777,6.77826392e-05,101.35087719298245
office28_360_246_aout_B,4401,3.61344864e-05,77.21052631578948
office28_360_246_bout_B,5403,4.50872576e-05,94.78947368421052
office28_360_82_aout_B,3995,2.50375706e-05,70.08771929824562
office28_360_82_bout_B,4275,3.98778466e-05,75.0
office28_660_0_B,3609,1.65213369e-05,63.31578947368421
office28_660_164_aout_B,4001,3.37060046e-05,70.19298245614036
office28_660_164_bout_B,4276,5.07756231e-05,75.01754385964912
office28_660_246_aout_B,4423,3.53454852e-05,77.59649122807018
office28_660_246_bout_B,7146,0.000118250799,125.36842105263158
office28_660_82_aout_B,4681,3.17426893e-05,82.12280701754386
office28_660_82_bout_B,4543,3.95436728e-05,79.70175438596492
office28_960_0_B,5554,4.93754851e-05,97.43859649122807
office28_960_164_aout_B,3549,3.34256874e-05,62.26315789473684
office28_960_164_bout_B,4855,6.05302339e-05,85.17543859649123
office28_960_246_aout_B,3688,3.5322948e-05,64.70175438596492
office28_960_246_bout_B,5121,8.42951777e-05,89.84210526315789
office28_960_82_aout_B,4388,6.82825776e-05,76.98245614035088
office28_960_82_bout_B,6042,3.97807707e-05,106.0
office28_0_0_C,4030,2.68901422e-05,70.70175438596492
office28_0_164_aout_C,3529,2.03453928e-05,61.91228070175438
office28_0_164_bout_C,5402,3.7092359e-05,94.7719298245614
office28_0_246_aout_C,2953,1.7505683e-05,51.80701754385965
