casename,num_drop,volume[ml],RoI
office7_660_82_aout,4055.0,4.8077008220000005e-05,112.63888888888887
office7_660_82_bout,3962.4,4.077054686e-05,110.06666666666665
office7_960_0,5704.2,6.527268342e-05,158.45
office7_960_164_aout,5224.2,6.476923948e-05,145.11666666666667
office7_960_164_bout,5117.6,6.906701667999999e-05,142.15555555555554
office7_960_246_aout,5507.2,6.775611676e-05,152.9777777777778
office7_960_246_bout,5735.2,7.045553758000001e-05,159.3111111111111
office7_960_82_aout,5262.2,7.548103672e-05,146.17222222222222
office7_960_82_bout,5416.2,7.323230228e-05,150.45
office6_0_0,3014.0,2.1758059074000002e-05,91.33333333333334
office6_0_164_aout,2719.0,2.7619104222000002e-05,82.3939393939394
office6_0_164_bout,1827.6,1.685191979596e-05,55.38181818181819
office6_0_246_aout,2681.6,1.864343439e-05,81.26060606060605
office6_0_246_bout,2077.6,1.3280043812e-05,62.95757575757575
office6_0_82_aout,3055.0,2.0563885836e-05,92.57575757575756
office6_0_82_bout,2219.4,1.559586389e-05,67.25454545454545
office6_360_0,2810.8,1.6694008568e-05,85.17575757575757
office6_360_164_aout,3158.2,2.3091752934e-05,95.7030303030303
office6_360_164_bout,2461.2,2.1916755443599998e-05,74.58181818181818
office6_360_246_aout,2866.8,2.9376337336e-05,86.87272727272727
office6_360_246_bout,3289.2,3.064028624e-05,99.67272727272727
office6_360_82_aout,2892.8,2.5516548594e-05,87.66060606060606
office6_360_82_bout,3256.0,2.4485562927559998e-05,98.66666666666666
office6_660_0,3827.8,6.613935884999999e-05,115.99393939393937
office6_660_164_aout,3994.8,3.779854209800001e-05,121.05454545454545
office6_660_164_bout,3984.4,4.4915617918e-05,120.73939393939395
office6_660_246_aout,4716.4,6.520006761e-05,142.92121212121214
office6_660_246_bout,4548.0,5.3202292739999996e-05,137.8181818181818
office6_660_82_aout,2869.6,3.2677376446e-05,86.95757575757575
office6_660_82_bout,3392.0,4.718867106199999e-05,102.7878787878788
office6_960_0,4380.2,4.520537548000001e-05,132.73333333333332
office6_960_164_aout,4261.6,5.060649744e-05,129.13939393939395
office6_960_164_bout,4187.2,3.8845716340000004e-05,126.88484848484848
office6_960_246_aout,4406.6,5.84080569e-05,133.53333333333333
office6_960_246_bout,4900.0,5.23484894e-05,148.48484848484847
office6_960_82_aout,3791.8,5.5534467802e-05,114.9030303030303
office6_960_82_bout,3974.4,5.085736812000001e-05,120.43636363636365
office14_0_0,2986.8,2.2693727616e-05,71.11428571428571
office14_0_164_aout,3442.8,2.194672526e-05,81.97142857142858
office14_0_164_bout,2915.2,2.8387625113999997e-05,69.40952380952382
office14_0_246_aout,2672.0,2.201903682e-05,63.61904761904761
office14_0_246_bout,5184.4,5.1566606999999994e-05,123.43809523809523
