x,y,z,num_droplets,volume,RoI
0.3,0.2,1.25,0.0,0.0,0.0
0.4,0.2,1.25,0.0,0.0,0.0
0.5,0.2,1.25,0.0,0.0,0.0
0.6,0.2,1.25,0.0,0.0,0.0
0.7,0.2,1.25,0.0,0.0,0.0
0.8,0.2,1.25,0.0,0.0,0.0
0.9,0.2,1.25,0.0,0.0,0.0
1.0,0.2,1.25,0.0,0.0,0.0
1.1,0.2,1.25,0.0,0.0,0.0
1.2,0.2,1.25,0.0,0.0,0.0
1.3,0.2,1.25,0.0,0.0,0.0
1.4,0.2,1.25,0.0,0.0,0.0
1.5,0.2,1.25,0.0,0.0,0.0
1.6,0.2,1.25,0.0,0.0,0.0
1.7,0.2,1.25,0.0,0.0,0.0
1.8,0.2,1.25,0.0,0.0,0.0
1.9,0.2,1.25,1.2,2.781072e-10,0.00018537045
2.0,0.2,1.25,1.0,1.2577932e-10,8.3863735e-05
2.1,0.2,1.25,2.6,4.7954183e-09,0.0031918287
2.2,0.2,1.25,1.4,2.555044e-09,0.0017018914
2.3,0.2,1.25,0.8,2.366444e-09,0.001576364
2.4,0.2,1.25,0.4,1.526814e-10,0.00010180473
2.5,0.2,1.25,1.2,2.584438e-08,0.017082036
2.6,0.2,1.25,0.8,2.56917e-08,0.01698196
2.7,0.2,1.25,0.4,2.5579439e-08,0.016908407
2.8,0.2,1.25,0.0,0.0,0.0
2.9,0.2,1.25,0.0,0.0,0.0
3.0,0.2,1.25,0.0,0.0,0.0
3.1,0.2,1.25,0.0,0.0,0.0
3.2,0.2,1.25,0.0,0.0,0.0
3.3,0.2,1.25,0.0,0.0,0.0
3.4,0.2,1.25,0.0,0.0,0.0
3.5,0.2,1.25,0.0,0.0,0.0
3.6,0.2,1.25,0.0,0.0,0.0
3.7,0.2,1.25,0.0,0.0,0.0
3.8,0.2,1.25,0.0,0.0,0.0
3.9,0.2,1.25,0.0,0.0,0.0
4.0,0.2,1.25,0.4,1.1225958e-10,7.4863434e-05
4.1,0.2,1.25,3.8,7.140556e-10,0.0004759431
4.2,0.2,1.25,3.4,2.6821809e-08,0.017722309
4.3,0.2,1.25,0.6,2.2901037e-09,0.0015255809
4.4,0.2,1.25,0.2,7.63407e-11,5.0902367e-05
4.5,0.2,1.25,0.2,3.591888e-11,2.3961067e-05
4.6,0.2,1.25,0.4,1.1225958e-10,7.4863434e-05
4.7,0.2,1.25,0.0,0.0,0.0
4.8,0.2,1.25,0.0,0.0,0.0
4.9,0.2,1.25,0.4,4.9008846e-11,3.2663345e-05
5.0,0.2,1.25,0.2,3.591888e-11,2.3961067e-05
5.1,0.2,1.25,0.2,1.1928234e-09,0.00079488754
5.2,0.2,1.25,2.4,2.819614e-08,0.018621862
5.3,0.2,1.25,0.6,2.5642757e-08,0.016949892
5.4,0.2,1.25,1.0,5.121192e-08,0.033565044
5.5,0.2,1.25,0.8,2.5645582e-08,0.01695174
5.6,0.2,1.25,1.0,1.9425514e-10,0.0001295209
5.7,0.2,1.25,0.8,1.5833627e-10,0.000105559826
5.8,0.2,1.25,1.2,2.8085828e-10,0.00018721819
5.9,0.2,1.25,0.8,2.0169019e-10,0.00013446808
6.0,0.2,1.25,0.4,1.1225958e-10,7.4863434e-05
6.1,0.2,1.25,0.0,0.0,0.0
6.2,0.2,1.25,0.2,7.63407e-11,5.0902367e-05
6.3,0.2,1.25,0.2,7.63407e-11,5.0902367e-05
6.4,0.2,1.25,0.2,3.591888e-11,2.3961067e-05
6.5,0.2,1.25,0.2,3.591888e-11,2.3961067e-05
6.6,0.2,1.25,0.0,0.0,0.0
6.7,0.2,1.25,0.0,0.0,0.0
6.8,0.2,1.25,0.4,7.183776e-11,4.786253e-05
6.9,0.2,1.25,1.0,4.39451e-09,0.002925396
7.0,0.2,1.25,1.0,1.971873e-10,0.00013142824
7.1,0.2,1.25,0.2,2.827434e-12,1.9073486e-06
7.2,0.2,1.25,0.2,2.1778441e-09,0.0014508367
7.3,0.2,1.25,0.0,0.0,0.0
7.4,0.2,1.25,0.4,2.1762077e-10,0.0001450777
7.5,0.2,1.25,0.0,0.0,0.0
7.6,0.2,1.25,0.4,7.641704e-11,5.096197e-05
7.7,0.2,1.25,0.2,7.63407e-11,5.0902367e-05
7.8,0.2,1.25,0.0,0.0,0.0
7.9,0.2,1.25,0.0,0.0,0.0
8.0,0.2,1.25,0.0,0.0,0.0
8.1,0.2,1.25,0.0,0.0,0.0
8.2,0.2,1.25,0.0,0.0,0.0
8.3,0.2,1.25,0.0,0.0,0.0
8.4,0.2,1.25,0.0,0.0,0.0
