casename,num_drop,volume[ml],RoI
office10_660_82_bout,3497.4,3.7974809679999994e-05,83.27142857142857
office10_960_0,4965.8,5.993152012e-05,118.23333333333335
office10_960_164_aout,4867.8,4.219296972e-05,115.9
office10_960_164_bout,4753.6,6.0752885479999996e-05,113.18095238095239
office10_960_246_aout,5158.8,5.772163351999999e-05,122.82857142857142
office10_960_246_bout,4862.6,7.431583788000001e-05,115.77619047619048
office10_960_82_aout,5051.8,7.98235592e-05,120.28095238095239
office10_960_82_bout,5058.6,8.183615596e-05,120.44285714285715
office22_0_0,4880.2,6.084592244e-05,88.3294117647059
office22_0_164_aout,4954.2,3.5222668879999995e-05,89.66877828054298
office22_0_164_bout,6264.0,6.439003774e-05,113.37556561085974
office22_0_246_aout,5332.6,5.3289675260000006e-05,96.51764705882354
office22_0_246_bout,6405.6,6.262897377999999e-05,115.93846153846152
office22_0_82_aout,6074.2,5.100280686000001e-05,109.94027149321266
office22_0_82_bout,5031.0,4.222752578e-05,91.05882352941177
office22_360_0,3199.4,2.1423453646e-05,57.90769230769231
office22_360_164_aout,3543.0,2.7526369022000007e-05,64.12669683257919
office22_360_164_bout,4764.0,4.1100352584000004e-05,86.22624434389141
office22_360_246_aout,4061.6,3.209052666e-05,73.5131221719457
office22_360_246_bout,4253.0,3.537148588e-05,76.97737556561086
office22_360_82_aout,4709.8,3.263455910000001e-05,85.24524886877828
office22_360_82_bout,2779.8,2.2754534983999998e-05,50.3131221719457
office22_660_0,3643.6,3.2844969980000007e-05,65.94751131221719
office22_660_164_aout,4038.4,4.5150711592e-05,73.09321266968325
office22_660_164_bout,4700.4,5.6981713699999994e-05,85.07511312217194
office22_660_246_aout,4629.0,3.789033054e-05,83.78280542986425
office22_660_246_bout,4611.8,5.326886128e-05,83.47149321266969
office22_660_82_aout,3079.2,2.4423626276e-05,55.73212669683257
office22_660_82_bout,3852.6,4.4188977818e-05,69.73031674208144
office22_960_0,4397.2,5.2986223814e-05,79.58733031674208
office22_960_164_aout,4564.2,5.065762272e-05,82.60995475113123
office22_960_164_bout,4854.8,5.7488822139999995e-05,87.86968325791854
office22_960_246_aout,4700.4,5.638054022e-05,85.07511312217194
office22_960_246_bout,5455.4,6.77334985e-05,98.74027149321266
office22_960_82_aout,3831.6,5.9122458772e-05,69.35022624434389
office22_960_82_bout,4508.4,6.585479309999999e-05,81.6
office7_0_0,6164.6,6.029853394e-05,171.23888888888888
office7_0_164_aout,6602.0,7.500731234000001e-05,183.38888888888889
office7_0_164_bout,6036.2,6.337674129999999e-05,167.67222222222222
office7_0_246_aout,6721.8,7.817301594000001e-05,186.71666666666664
office7_0_246_bout,6290.0,6.0142931779999994e-05,174.72222222222223
office7_0_82_aout,6161.4,7.258120378000001e-05,171.15
office7_0_82_bout,5570.6,5.110221426e-05,154.73888888888888
office7_360_0,5407.2,6.029060312e-05,150.2
office7_360_164_aout,5477.0,5.311904388e-05,152.13888888888886
office7_360_164_bout,5400.4,8.053791226000001e-05,150.01111111111112
office7_360_246_aout,5957.6,7.919901772e-05,165.48888888888888
office7_360_246_bout,5430.6,6.336599316e-05,150.85
office7_360_82_aout,6108.0,6.811406922e-05,169.66666666666669
office7_360_82_bout,5523.8,6.581730420000001e-05,153.4388888888889
office7_660_0,6288.4,7.56468552e-05,174.67777777777778
