casename,num_drop,volume[ml],RoI
office10_660_82_aout_B,3049,1.86278576e-05,72.5952380952381
office10_660_82_bout_B,4329,6.37111734e-05,103.07142857142857
office10_960_0_B,5848,8.59190695e-05,139.23809523809524
office10_960_164_aout_B,5110,8.07875185e-05,121.66666666666667
office10_960_164_bout_B,8320,7.69904655e-05,198.0952380952381
office10_960_246_aout_B,6531,5.76653292e-05,155.5
office10_960_246_bout_B,7455,0.000137478433,177.5
office10_960_82_aout_B,7573,0.000121549907,180.3095238095238
office10_960_82_bout_B,8324,0.000160190073,198.1904761904762
office10_0_0_C,7111,3.03497472e-05,169.3095238095238
office10_0_164_aout_C,8099,9.60841426e-05,192.83333333333334
office10_0_164_bout_C,1944,4.75535235e-05,46.285714285714285
office10_0_246_aout_C,8088,5.00513852e-05,192.57142857142858
office10_0_246_bout_C,2770,3.8960472e-05,65.95238095238095
office10_0_82_aout_C,7688,5.68022333e-05,183.04761904761904
office10_0_82_bout_C,7508,6.00095736e-05,178.76190476190476
office10_360_0_C,2156,1.4361899e-05,51.333333333333336
office10_360_164_aout_C,8578,0.000142741192,204.23809523809524
office10_360_164_bout_C,3712,9.27628662e-06,88.38095238095238
office10_360_246_aout_C,8394,9.01494423e-05,199.85714285714286
office10_360_246_bout_C,6463,4.04781276e-05,153.88095238095238
office10_360_82_aout_C,5630,3.7075275e-05,134.04761904761904
office10_360_82_bout_C,5997,1.79790968e-05,142.78571428571428
office10_660_0_C,1709,1.04100554e-05,40.69047619047619
office10_660_164_aout_C,1071,2.86961676e-05,25.5
office10_660_164_bout_C,2416,2.82681212e-05,57.523809523809526
office10_660_246_aout_C,7236,0.000161862699,172.28571428571428
office10_660_246_bout_C,5421,8.61098033e-06,129.07142857142858
office10_660_82_aout_C,3914,1.96484652e-05,93.19047619047619
office10_660_82_bout_C,1335,1.88646391e-05,31.785714285714285
office10_960_0_C,3752,2.55941377e-05,89.33333333333333
office10_960_164_aout_C,6331,4.8322232e-05,150.73809523809524
office10_960_164_bout_C,4252,5.09278434e-05,101.23809523809524
office10_960_246_aout_C,7133,5.65532027e-05,169.83333333333334
office10_960_246_bout_C,1235,5.6128014e-05,29.404761904761905
office10_960_82_aout_C,5553,8.36772451e-05,132.21428571428572
office10_960_82_bout_C,5220,1.5040252e-05,124.28571428571429
office10_0_0_D,8144,7.13051122e-05,193.9047619047619
office10_0_164_aout_D,7813,4.58084978e-05,186.02380952380952
office10_0_164_bout_D,7704,9.19184895e-05,183.42857142857142
office10_0_246_aout_D,8210,2.94211932e-05,195.47619047619048
office10_0_246_bout_D,5867,4.96325556e-05,139.6904761904762
office10_0_82_aout_D,5298,6.6447923e-05,126.14285714285714
office10_0_82_bout_D,8299,8.31887955e-05,197.5952380952381
office10_360_0_D,6802,2.62039684e-05,161.95238095238096
office10_360_164_aout_D,5013,4.29614811e-05,119.35714285714286
office10_360_164_bout_D,770,6.42632995e-06,18.333333333333332
office10_360_246_aout_D,5923,7.22033001e-05,141.02380952380952
office10_360_246_bout_D,4858,1.89051079e-05,115.66666666666667
office10_360_82_aout_D,1203,2.46890122e-05,28.642857142857142
office10_360_82_bout_D,3549,2.44524308e-05,84.5
office10_660_0_D,824,2.30650967e-05,19.61904761904762
office10_660_164_aout_D,553,1.46858656e-05,13.166666666666666
office10_660_164_bout_D,3288,1.48088357e-05,78.28571428571429
office10_660_246_aout_D,2251,1.16455822e-05,53.595238095238095
